starttime	seconds	ctime	dtime	ttime	wait
Wed Jun 26 15:35:25 2013	1372253725	0	310	310	310
Wed Jun 26 15:34:52 2013	1372253692	0	310	310	310
Wed Jun 26 15:35:38 2013	1372253738	0	310	310	310
Wed Jun 26 15:35:47 2013	1372253747	0	310	310	310
Wed Jun 26 15:34:45 2013	1372253685	0	310	310	310
Wed Jun 26 15:35:50 2013	1372253750	0	310	310	310
Wed Jun 26 15:35:19 2013	1372253719	0	310	310	310
Wed Jun 26 15:34:33 2013	1372253673	0	310	310	310
Wed Jun 26 15:34:32 2013	1372253672	0	310	310	310
Wed Jun 26 15:34:36 2013	1372253676	0	310	310	310
Wed Jun 26 15:34:30 2013	1372253670	0	310	310	310
Wed Jun 26 15:34:28 2013	1372253668	0	310	310	310
Wed Jun 26 15:35:43 2013	1372253743	0	310	310	310
Wed Jun 26 15:35:42 2013	1372253742	0	310	311	310
Wed Jun 26 15:35:06 2013	1372253706	0	311	311	310
Wed Jun 26 15:34:38 2013	1372253678	0	311	311	311
Wed Jun 26 15:34:33 2013	1372253673	0	311	311	311
Wed Jun 26 15:35:34 2013	1372253734	0	311	311	311
Wed Jun 26 15:35:47 2013	1372253747	0	311	311	311
Wed Jun 26 15:34:55 2013	1372253695	0	311	311	311
Wed Jun 26 15:34:42 2013	1372253682	0	311	311	311
Wed Jun 26 15:34:54 2013	1372253694	0	311	311	311
Wed Jun 26 15:35:33 2013	1372253733	0	311	311	311
Wed Jun 26 15:35:20 2013	1372253720	0	311	311	311
Wed Jun 26 15:35:21 2013	1372253721	0	311	311	311
Wed Jun 26 15:35:07 2013	1372253707	0	311	311	311
Wed Jun 26 15:35:40 2013	1372253740	0	312	312	312
Wed Jun 26 15:34:46 2013	1372253686	0	312	312	312
Wed Jun 26 15:35:10 2013	1372253710	0	312	312	312
Wed Jun 26 15:35:50 2013	1372253750	0	312	312	312
Wed Jun 26 15:35:07 2013	1372253707	0	312	312	312
Wed Jun 26 15:34:41 2013	1372253681	0	312	312	312
Wed Jun 26 15:35:40 2013	1372253740	0	312	312	312
Wed Jun 26 15:35:50 2013	1372253750	0	312	312	312
Wed Jun 26 15:34:59 2013	1372253699	0	312	312	312
Wed Jun 26 15:35:45 2013	1372253745	0	312	312	312
Wed Jun 26 15:35:33 2013	1372253733	0	312	312	312
Wed Jun 26 15:35:37 2013	1372253737	0	312	312	312
Wed Jun 26 15:34:49 2013	1372253689	0	312	312	312
Wed Jun 26 15:35:00 2013	1372253700	0	313	313	313
Wed Jun 26 15:34:23 2013	1372253663	0	313	313	313
Wed Jun 26 15:35:39 2013	1372253739	0	313	313	313
Wed Jun 26 15:35:05 2013	1372253705	0	313	313	313
Wed Jun 26 15:35:04 2013	1372253704	0	313	313	313
Wed Jun 26 15:34:25 2013	1372253665	0	313	313	313
Wed Jun 26 15:35:28 2013	1372253728	0	313	313	313
Wed Jun 26 15:34:58 2013	1372253698	0	313	313	313
Wed Jun 26 15:35:36 2013	1372253736	0	313	313	313
Wed Jun 26 15:34:31 2013	1372253671	0	313	313	313
Wed Jun 26 15:35:44 2013	1372253744	0	313	313	313
Wed Jun 26 15:35:17 2013	1372253717	0	313	313	313
Wed Jun 26 15:35:31 2013	1372253731	0	313	313	313
Wed Jun 26 15:34:48 2013	1372253688	0	314	314	314
Wed Jun 26 15:35:09 2013	1372253709	0	314	314	314
Wed Jun 26 15:34:51 2013	1372253691	0	314	314	314
Wed Jun 26 15:35:25 2013	1372253725	0	314	314	314
Wed Jun 26 15:35:22 2013	1372253722	0	314	314	314
Wed Jun 26 15:34:44 2013	1372253684	0	314	314	314
Wed Jun 26 15:34:32 2013	1372253672	0	314	314	314
Wed Jun 26 15:34:50 2013	1372253690	0	314	314	314
Wed Jun 26 15:35:03 2013	1372253703	0	314	314	314
Wed Jun 26 15:34:49 2013	1372253689	0	314	314	314
Wed Jun 26 15:35:30 2013	1372253730	0	315	315	315
Wed Jun 26 15:34:24 2013	1372253664	0	315	315	315
Wed Jun 26 15:35:04 2013	1372253704	0	315	315	315
Wed Jun 26 15:34:44 2013	1372253684	0	315	315	315
Wed Jun 26 15:34:45 2013	1372253685	0	316	316	316
Wed Jun 26 15:35:11 2013	1372253711	0	316	316	316
Wed Jun 26 15:35:23 2013	1372253723	0	316	316	316
Wed Jun 26 15:35:32 2013	1372253732	0	316	316	316
Wed Jun 26 15:35:24 2013	1372253724	0	316	316	316
Wed Jun 26 15:34:22 2013	1372253662	0	316	316	316
Wed Jun 26 15:34:21 2013	1372253661	0	316	316	316
Wed Jun 26 15:35:03 2013	1372253703	0	316	316	316
Wed Jun 26 15:35:23 2013	1372253723	0	316	316	316
Wed Jun 26 15:34:20 2013	1372253660	0	316	316	316
Wed Jun 26 15:35:25 2013	1372253725	0	316	317	316
Wed Jun 26 15:35:30 2013	1372253730	0	317	317	317
Wed Jun 26 15:35:14 2013	1372253714	0	317	317	317
Wed Jun 26 15:35:26 2013	1372253726	0	317	317	317
Wed Jun 26 15:35:20 2013	1372253720	0	317	317	317
Wed Jun 26 15:35:22 2013	1372253722	0	317	317	317
Wed Jun 26 15:34:21 2013	1372253661	0	317	318	317
Wed Jun 26 15:35:22 2013	1372253722	0	318	318	318
Wed Jun 26 15:34:35 2013	1372253675	0	318	318	318
Wed Jun 26 15:35:22 2013	1372253722	0	318	318	318
Wed Jun 26 15:35:10 2013	1372253710	0	318	318	318
Wed Jun 26 15:35:27 2013	1372253727	0	319	319	319
Wed Jun 26 15:34:29 2013	1372253669	0	319	319	319
Wed Jun 26 15:35:24 2013	1372253724	0	319	319	319
Wed Jun 26 15:35:02 2013	1372253702	0	320	320	320
Wed Jun 26 15:35:26 2013	1372253726	0	320	320	320
Wed Jun 26 15:35:14 2013	1372253714	0	320	320	320
Wed Jun 26 15:35:23 2013	1372253723	0	321	321	321
Wed Jun 26 15:35:09 2013	1372253709	0	321	321	321
Wed Jun 26 15:34:29 2013	1372253669	0	321	321	321
Wed Jun 26 15:34:30 2013	1372253670	0	322	322	322
Wed Jun 26 15:35:13 2013	1372253713	0	322	322	322
Wed Jun 26 15:35:29 2013	1372253729	0	322	322	322
Wed Jun 26 15:35:21 2013	1372253721	0	322	322	322
Wed Jun 26 15:35:19 2013	1372253719	0	322	322	322
Wed Jun 26 15:35:20 2013	1372253720	0	322	322	322
Wed Jun 26 15:34:22 2013	1372253662	0	323	323	322
Wed Jun 26 15:35:24 2013	1372253724	0	323	323	323
Wed Jun 26 15:35:28 2013	1372253728	0	323	323	323
Wed Jun 26 15:35:12 2013	1372253712	0	323	323	323
Wed Jun 26 15:35:13 2013	1372253713	0	323	323	323
Wed Jun 26 15:35:31 2013	1372253731	0	323	323	323
Wed Jun 26 15:34:58 2013	1372253698	0	323	323	323
Wed Jun 26 15:35:18 2013	1372253718	0	323	323	323
Wed Jun 26 15:35:11 2013	1372253711	0	323	323	323
Wed Jun 26 15:35:41 2013	1372253741	0	323	323	323
Wed Jun 26 15:35:31 2013	1372253731	0	323	323	323
Wed Jun 26 15:35:16 2013	1372253716	0	323	323	323
Wed Jun 26 15:35:46 2013	1372253746	0	323	323	323
Wed Jun 26 15:35:17 2013	1372253717	0	323	323	323
Wed Jun 26 15:35:17 2013	1372253717	0	323	323	323
Wed Jun 26 15:34:51 2013	1372253691	0	323	323	323
Wed Jun 26 15:34:34 2013	1372253674	0	324	324	324
Wed Jun 26 15:35:28 2013	1372253728	0	324	324	324
Wed Jun 26 15:35:13 2013	1372253713	0	324	324	324
Wed Jun 26 15:34:27 2013	1372253667	0	324	324	324
Wed Jun 26 15:35:41 2013	1372253741	0	324	324	324
Wed Jun 26 15:34:19 2013	1372253659	0	324	324	324
Wed Jun 26 15:35:12 2013	1372253712	0	324	324	324
Wed Jun 26 15:35:18 2013	1372253718	0	324	324	324
Wed Jun 26 15:34:58 2013	1372253698	0	324	324	324
Wed Jun 26 15:35:04 2013	1372253704	0	324	324	324
Wed Jun 26 15:35:29 2013	1372253729	0	324	324	324
Wed Jun 26 15:34:56 2013	1372253696	0	324	324	324
Wed Jun 26 15:35:37 2013	1372253737	0	325	325	325
Wed Jun 26 15:35:18 2013	1372253718	0	325	325	325
Wed Jun 26 15:34:53 2013	1372253693	0	325	325	325
Wed Jun 26 15:34:37 2013	1372253677	0	326	326	326
Wed Jun 26 15:35:15 2013	1372253715	0	326	326	326
Wed Jun 26 15:35:00 2013	1372253700	0	326	326	326
Wed Jun 26 15:35:13 2013	1372253713	0	326	326	326
Wed Jun 26 15:35:08 2013	1372253708	0	326	326	326
Wed Jun 26 15:34:40 2013	1372253680	0	326	326	326
Wed Jun 26 15:35:47 2013	1372253747	0	326	326	326
Wed Jun 26 15:35:27 2013	1372253727	0	327	327	326
Wed Jun 26 15:35:52 2013	1372253752	0	327	327	327
Wed Jun 26 15:35:29 2013	1372253729	0	327	327	327
Wed Jun 26 15:34:50 2013	1372253690	0	327	327	327
Wed Jun 26 15:35:35 2013	1372253735	0	327	327	327
Wed Jun 26 15:35:16 2013	1372253716	0	327	327	327
Wed Jun 26 15:35:27 2013	1372253727	0	328	328	328
Wed Jun 26 15:35:06 2013	1372253706	0	329	329	329
Wed Jun 26 15:34:39 2013	1372253679	0	330	330	330
Wed Jun 26 15:34:53 2013	1372253693	0	330	330	330
Wed Jun 26 15:34:41 2013	1372253681	0	330	330	330
Wed Jun 26 15:35:14 2013	1372253714	0	330	330	330
Wed Jun 26 15:35:45 2013	1372253745	0	332	332	332
Wed Jun 26 15:34:46 2013	1372253686	0	333	333	333
Wed Jun 26 15:35:10 2013	1372253710	0	333	333	333
Wed Jun 26 15:34:31 2013	1372253671	0	334	334	334
Wed Jun 26 15:35:42 2013	1372253742	0	334	334	334
Wed Jun 26 15:35:21 2013	1372253721	0	334	334	334
Wed Jun 26 15:35:09 2013	1372253709	0	337	337	337
Wed Jun 26 15:35:15 2013	1372253715	0	337	337	337
Wed Jun 26 15:35:19 2013	1372253719	0	339	339	339
Wed Jun 26 15:34:25 2013	1372253665	0	344	344	344
